id_ucznia	imie	nazwisko	klasa	rok_nauki
1600	Mateusz	Zgid	A	3
1601	Teresa	Budzisz	A	3
1602	Klaudia	Antczak	A	3
1603	Marek	Helski	A	3
1604	Piotr	Kozak	A	3
1605	Patryk	Chromiec	A	3
1606	Filip	Stawny	A	3
1607	Katarzyna	Czarkowska	A	3
1608	Nina	Harris	A	3
1609	Wlademar	Sarna	A	3
1610	Jan	Bugajski	A	3
1611	Faustyn	Augustowski	A	3
1612	Karolina	Adamczyk	A	3
1613	Milena	Karwik	A	3
1614	Nikodem	Janiak	A	3
1615	Maja	Barczuk	A	3
1616	Piotr	Olczak	A	3
1617	Jan	Smith	A	3
1618	Krystian	Borodacz	A	3
1619	Olga	Barankiewicz	A	3
1620	Bartosz	Drozdowski	A	3
1621	Konrad	Kmit	A	3
1622	Urszula	Erbel	A	3
1623	Marek	Gawron	A	3
1624	Krystyna	Antonkiewicz	B	3
1625	Sebastian	Babij	B	3
1626	Piotr	Kopacz	B	3
1627	Jerzy	Andrzejewski	B	3
1628	Michal	Andrut	B	3
1629	Karol	Badowski	B	3
1630	Iwona	Bekasiewicz	B	3
1631	Wojciech	Pokora	B	3
1632	Monika	Wychotowicz	B	3
1633	Mateusz	Blizniak	B	3
1634	Adam	Adamus	B	3
1635	Alina	Barska	B	3
1636	Anna	Andrzejewska	B	3
1637	Lucjan	Bartkowiak	B	3
1638	Krzysztof	Mendrek	B	3
1639	Ewelina	Borowska	B	3
1640	Anna	Marzec	B	3
1641	Agnieszka	Antoszewska	B	3
1642	Maria	Tynkarz	B	3
1643	Jan	Bartodziej	B	3
1644	Milena	Lichwa	B	3
1645	Edward	Nosowski	B	3
1646	Zenobiusz	Basaj	B	3
1647	Anna	Mazurkiewicz	B	3
1648	Julia	Adamczyk	B	3
1649	Jowita	Biernaczyk	B	3
1650	Natalia	Czyz	B	3
1651	Mateusz	Herman	B	3
1652	Nikola	Hofman	B	3
1653	Jan	Inny	B	3
1654	Stefan	Inny	B	3
1655	Piotr	Jacyk	B	3
1656	Agata	Jandura	B	3
1657	Marek	Kaczor	B	3
1658	Anna	Karpowicz	B	3
1659	Mateusz	Korda	B	3
